code_region,nom_region,abr_region,code_district,nom_district
9,Sud-Ouest,SUW,164,Bangem
9,Sud-Ouest,SUW,165,Buea
9,Sud-Ouest,SUW,166,Ekondo titi
9,Sud-Ouest,SUW,167,Eyumojock
9,Sud-Ouest,SUW,168,Fontem
9,Sud-Ouest,SUW,169,Konye
9,Sud-Ouest,SUW,170,Kumba
9,Sud-Ouest,SUW,171,Limbe
9,Sud-Ouest,SUW,172,Mamfe
9,Sud-Ouest,SUW,173,Mbonge
9,Sud-Ouest,SUW,174,Mundemba
9,Sud-Ouest,SUW,175,Muyuka
9,Sud-Ouest,SUW,176,Nguti
9,Sud-Ouest,SUW,177,Tiko
9,Sud-Ouest,SUW,178,Tombel
9,Sud-Ouest,SUW,179,Wabane
10,Sud,SUD,180,Ambam
10,Sud,SUD,181,Djoum
10,Sud,SUD,182,Ebolowa
10,Sud,SUD,183,Kribi
10,Sud,SUD,184,Lolodorf
10,Sud,SUD,185,Meyomessala
10,Sud,SUD,186,Mvangan
10,Sud,SUD,187,Olamze
10,Sud,SUD,188,Sangmelima
10,Sud,SUD,189,Zoetele
