code_air,nom_air,code_district
541,Gamdougoum,60
542,Gawar,60
543,Hina,60
544,Ounangare Dimeo,60
545,Tchamahe,60
546,Zidim,60
547,Zouvoul,60
548,Bipaing,61
549,Boboyo,61
550,Djidoma,61
551,Doumrou,61
552,Gaban,61
553,Gadas,61
554,Garey,61
555,Going,61
556,Kaele,61
557,Lara,61
558,Mapoussere,61
559,Midjivin,61
560,Mindjil,61
561,Moubare,61
562,Datcheka,62
563,Doukoula 1,62
564,Doukoula 2,62
565,Gane,62
566,Going -Tala,62
567,Guissia,62
568,Kada,62
569,Mogom,62
570,Oulargo,62
571,Tchatibali,62
572,Werfeo,62
573,Zouaye,62
574,Amchide,63
575,Gujimdele,63
576,Kerawa,63
577,Kolofata,63
578,Kouyape,63
579,Limani,63
580,Tolkomari,63
581,Amchidire,64
582,Dabanga,64
583,Hile Haoussa,64
584,Holoum,64
585,Kalakafra,64
586,Madana,64
587,Madiako,64
588,Ndjagare,64
589,Ngodeni,64
590,Pagui,64
591,Parpar,64
592,Zimado,64
593,Zina,64
594,Assighassia,65
595,Djingliya,65
596,Gaboua,65
597,Goldavi,65
598,Gouzda Vreket,65
599,Gouzda Wayam,65
600,Hirche,65
601,Koza 1,65
602,Koza 2,65
603,Moskota,65
604,Mozogo,65
605,M'tskar,65
606,Ndouvgui Kilda,65
607,Nghethewe,65
608,Ouzal,65
609,Zheleved,65
610,Bargaram,66
611,Blangoua,66
612,Blaram,66
613,Darak,66
614,Hile Alifa,66
615,Kobro,66
616,Kofia,66
617,Mada,66
618,Naga,66
619,Tchika,66
620,Guirvidig,67
621,Maga,67
622,Mazera,67
623,Pouss,67
624,Tekele,67
625,Amchilga,68
626,Biamo,68
627,Bodo,68
628,Bomboyo,68
629,Fotokol,68
630,Makary,68
631,Ngouma,68
632,Sagme,68
633,Woulky,68
634,Beguele,69
635,Domayo 2,69
636,Domayo Djarma,69
637,Domayo Kamanjo Igama,69
638,Katoual,69
639,Makabaye,69
640,Meskmanjo ine,69
641,Ngassa,69
642,Ourotchede,69
643,Palar,69
644,Salak,69
645,Dogba,70
646,Doualare,70
647,Founangue,70
648,Kossewa,70
649,Lopere,70
650,Papata,70
651,Zokok,70
652,Birio,71
653,Dargala,71
654,Djarengol Kodek,71
655,Djoulgouf,71
656,Dougoi,71
657,Kaewo,71
658,Kengola,71
659,Kodek,71
660,Ouro Zangui,71
661,Yoldeo,71
662,Doulek,72
663,Doumrou,72
664,Douvangar,72
665,Godola,72
666,Kalliao,72
667,Magawa,72
668,Marnguirdla,72
669,Meftek Ouazzang,72
670,Meri,72
671,Djappai,73
672,Doyang,73
673,Loubour,73
674,Maoudine,73
675,Matfai,73
676,Mendeo,73
677,Mindif,73
678,Modjombodi,73
679,Mogom,73
680,Yakang,73
681,Houpou,74
682,Kila,74
683,Kortchi,74
684,Kossehone,74
685,Mogode,74
686,Rhumsiki,74
687,Rhumzou,74
688,Sir,74
689,Gadala,75
690,Goudour,75
691,Magoumaz,75
692,Mandaka Chechem,75
693,Minawao,75
694,Mokolo 1,75
695,Mokolo 2,75
696,Mokong,75
697,Ouro Tada,75
698,Toufou,75
699,Tourou,75
700,Vouzod,75
701,Zamay,75
702,Ziling,75
703,Aissa Harde,76
704,Bounderi,76
705,Djaounde,76
706,Godigong,76
707,Kossa,76
708,Kourgui,76
709,Magdeme,76
710,Massare,76
711,Meh├®,76
712,Mem├®,76
713,Mora,76
714,Oudjilla,76
715,Podoko Nord,76
716,Tala Mokolo,76
717,Waza,76
718,Daram,77
719,Goudoum,77
720,Guirling,77
721,Horlong,77
722,Kolara,77
723,Korre,77
724,Manga,77
725,Moulvoudaye,77
726,Damai,78
727,Foulou,78
728,Mouda,78
729,Moutourwa,78
730,Titing,78
731,Alagarno,79
732,Djaoude,79
733,Djoutabembal,79
734,Doubbel,79
735,Fadare,79
736,Malam Petel,79
737,Pette,79
738,Madakonai,80
739,Medere,80
740,Midre,80
741,Ndimche,80
742,Roua,80
743,Soulede,80
744,Kotraba,81
745,Mada-Kolkoch,81
746,Makalingai,81
747,Mambeza,81
748,Mangave - Dalil,81
749,Mokio,81
750,Ouldeme,81
751,Palbara,81
752,Tokomber├® 1,81
753,Tokomber├® 2,81
754,Warba,81
755,Begue Palam,82
756,Djafga,82
757,Doreissou,82
758,Gabaraye,82
759,Kai Kai,82
760,Kartoua,82
761,Kouromokdaye,82
762,Madalam,82
763,Vele,82
764,Widigue,82
765,Bougaye,83
766,Dana,83
767,Djongdong,83
768,Gobio,83
769,Hougno,83
770,Kalfou,83
771,Mass Gaya,83
772,Vada Toukou,83
773,Viri,83
774,Vounaloum,83
775,Yagoua,83
776,Bessounkang,84
777,Mangamba,84
778,Miang,84
779,Nono,84
780,Souza,84
781,Bangue,85
782,Bonamoussadi,85
783,Kotto,85
784,Logbessou 1,85
785,Logpom Makepe,85
786,Makepe Missoke,85
787,Massoumbou,85
788,Bobongo,86
789,Boko Plage,86
790,Boko Plateau,86
791,Cite Berge,86
792,Mbanga Pongo,86
793,Newton Airport,86
794,Ngodi Bakoko,86
795,Bilingue,87
796,Bojongo,87
797,Bonamikano,87
798,Bonassama,87
799,Bonendale,87
800,Djebale,87
801,Grand Hangar,87
802,Mambanda,87
803,Ngwele,87
804,Nkomba,87
805,Sodiko,87
806,Cite des Palmiers,88
807,Dikahe,88
808,Genie Madiba,88
809,Logbessou 2,88
810,Maneke,88
811,Ndogbong-CP,88
812,Ndoghem 2,88
813,Nyalla-CP,88
814,Sodikombo,88
815,Akwa 1,89
816,Akwa 2,89
817,Akwa 3,89
818,Akwa Nord,89
819,Bepanda omnisports,89
820,Bepanda TSF,89
821,Bessengue,89
822,Bonanjo,89
823,Cite Sic,89
824,Deido,89
825,Grand Moulin,89
826,Ndogbong,89
827,Bekoko,90
828,Bomomo,90
829,Dibombari,90
830,Nkapa,90
831,Yabea,90
832,Beon,91
833,Dehane,91
834,Delangue,91
835,Dizangue,91
836,Elogbele,91
837,Logbadjeck,91
838,Makondo,91
839,Malimba,91
840,Mouanko,91
841,Ngonga,91
842,Plateau administratif,91
843,Bwang,92
844,Japoma,92
845,Kambo,92
846,Mbanga,92
847,Nkembe,92
848,Nyalla,92
849,Yambong,92
850,Yassa,92
851,Kongui,93
852,Logbaba Centre,93
853,Logbaba Plateau,93
854,Mboppi,93
855,Ndogbati,93
856,Ndogpassi 1,93
857,Ndogpassi 2,93
858,Ndogsimbi,93
859,Ndokoti,93
860,St Micheal,93
861,Babong,94
862,Loum 1,94
863,Loum 2,94
864,Loum 3,94
865,Loum chantiers,94
866,Kolla,95
867,Manjo 1,95
868,Manjo 2,95
869,Moumekeng,95
870,Njoumbeng,95
871,N'lohe,95
872,Cap Cameroum,96
873,Kombo Moukoko,96
874,Manoka Centre,96
875,Sio Sio,96
876,Toube,96
877,Boubou,97
878,Dikouma,97
879,EEC,97
880,Kotto,97
881,Matouke,97
882,Mission Cath,97
883,Mombo,97
884,Mouyouka,97
885,Bare,98
886,Barehock,98
887,Essekou,98
888,Lelem,98
889,Mbokambo,98
890,Mbouroukou,98
891,Melong 2,98
892,Melong centre,98
893,Ndokou,98
894,Ndom Bakem,98
895,Bodi,99
896,Ibong,99
897,Kelleng,99
898,Likounmbiam,99
899,Ndogbatolgue,99
900,Ndom Centre,99
901,Nsongmbongo,99
902,Nyanon,99
903,Omeng,99
904,Pockmahonda,99
905,Camp Yabassi,100
906,Makea,100
907,Mbam Ewondo,100
908,New-Bell Bamilek├®,100
909,Ngangue,100
910,Nkolmintag,100
911,Nkololoun,100
912,Nkongmondo,100
913,Sebenjongo,100
914,Youpwe,100
915,Bikat,101
916,Botbea,101
917,Mgog Mbog,101
918,Ngambe centre,101
919,Saha,101
920,Song Mbengue,101
921,Tomel,101
922,Bouba,102
923,Njombe 1,102
924,Njombe 2,102
925,Penja 1,102
926,Penja 2,102
927,Dissouck,103
928,Mabombe,103
929,Moya,103
930,Ndobian,103
931,Ndoctiba,103
932,Nkondjock Centre,103
933,Sohock,103
934,Bakwat,104
935,Baressoumtou,104
936,Bonangoh,104
937,Ebone,104
938,Eboum Mbeng,104
939,Ekangte,104
940,Ekel Mbeng,104
941,Ekol Mbeng,104
942,Nkoundou,104
943,Nlonko'o,104
944,Barcelone,105
945,Bonadiwoto,105
946,Diboum 2,105
947,Ndogpassi 3 Centre,105
948,Ndogpassi 3 ZR,105
949,Oyack 1,105
950,Oyack 3,105
951,Soboum,105
952,Makob,106
953,Nkonga,106
954,Pouma,106
955,Saint Andre,106
956,Song Simouth,106
957,Benga,107
958,Bonepoupa,107
959,Longtoka,107
960,Solle,107
961,Tonde,107
962,Yabassi,107
963,Yingui,107
964,Adoumri,108
965,Bibemi,108
966,Bide,108
967,Dengui,108
968,Djaloumi,108
969,Houla,108
970,Lam,108
971,Mandjola,108
972,Mayo lope,108
973,Mbella,108
974,Ndiam badi,108
975,Padarme,108
976,Badadji,109
977,Batao,109
978,Bidzar,109
979,Biou,109
980,Djougui,109
981,Figuil,109
982,Karewa,109
983,Kong kong,109
984,Lam,109
985,Pelgue,109
986,Bangli,110
987,Djamboutou,110
988,Garoua winde,110
989,Kollere,110
990,Nakong,110
991,Ouro kanadi,110
992,Ouro malam amadou,110
993,Souari,110
994,Foulbere,111
995,Lainde,111
996,Nassarao,111
997,Poumpoumre,111
998,Roumde adjia,111
999,Takasco,111
1000,Barndake,112
1001,Bascheo,112
1002,Dembo,112
1003,Demsa,112
1004,Djatoumi,112
1005,Gaschiga,112
1006,Hamakoussou,112
1007,Kobossi,112
1008,Pomla manga,112
1009,Rognou,112
1010,Babouri,113
1011,Bissoli,113
1012,Djabi,113
1013,Sorawel,113
1014,Sossilim,113
1015,Tchontchi,113
1016,Balga,114
1017,Douroum,114
1018,Gaval,114
1019,Gorom,114
1020,Guider,114
1021,Larbak,114
1022,Libe,114
1023,Lougguere,114
1024,Matafal,114
1025,Morija,114
1026,Mousgoy,114
1027,Sainte martine,114
1028,Soukoundou,114
1029,Badankali,115
1030,Bakona,115
1031,Bame,115
1032,Bocki,115
1033,Dingale,115
1034,Djipporde,115
1035,Gouna,115
1036,Gounougou,115
1037,Lamoudam,115
1038,Na'ari,115
1039,Ouro kessoum,115
1040,Tongo,115
1041,Bossoum,116
1042,Doumo,116
1043,Dourbeye,116
1044,Guirviza,116
1045,Mandama,116
1046,Mayo oulo,116
1047,Mouroum,116
1048,Pologozom,116
1049,Wafo,116
1050,Babla,117
1051,Badang,117
1052,Boumedje,117
1053,Djalingo,117
1054,Djefatou,117
1055,Lainde tchitta,117
1056,Mbaga,117
1057,Ndjola,117
1058,Ngong,117
1059,Sanguere ngal,117
1060,Tcheboa,117
1061,Touroua,117
1062,Badjouma centre,118
1063,Badjouma radier,118
1064,Bajengo,118
